,federal_district,federal_district_short,region_code,region_name,okato,id,name,name_short,year,e1,e2,e3,e4,e5,e6,e8,ege_budg,wos,scopus,rsci,rnd,total_income,square,phd_share,pps,rnd_private,pk
4,Южный федеральный округ,ЮФО,1,Республика Адыгея (Адыгея),79000000000,1,Федеральное государственное бюджетное образовательное учреждение высшего образования «Адыгейский государственный университет»,ФГБОУ ВО «АГУ»,2017,60.15,109.27,24.5,2044.22,158.43,65.0,5.75,61.82,3.993,17.024700000000003,1014.9843,39626.1,741335.0,60471,90.36,363,27054.39,4179.0
9,Сибирский федеральный округ,СФО,22,Алтайский край,1000000000,2,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный педагогический университет»,ФГБОУ ВО «АлтГПУ»,2017,61.86,83.53,2.62,1570.19,160.01,70.0,3.79,64.85,11.2098,7.473199999999999,1204.0958,28098.2,528212.1,42861,78.76,314,20881.0,3720.65
14,Сибирский федеральный округ,СФО,22,Алтайский край,1000000000,3,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный технический университет им. И.И. Ползунова»,"ФГБОУ ВО ""Алтайский государственный технический университет им. И.И. Ползунова"", АлтГТУ",2017,58.65,71.56,7.37,1685.53,187.37,75.0,5.2,61.95,73.2564,101.6158,1901.9532,47325.4,1114642.0,117213,73.5,646,37687.64,6840.5
19,Сибирский федеральный округ,СФО,22,Алтайский край,1000000000,4,Федеральное государственное бюджетное образовательное учреждение высшего образования «Алтайский государственный университет»,"ФГБОУ ВО «Алтайский государственный университет», Алтайский государственный университет, АлтГУ",2017,63.71,316.77,10.68,2659.27,209.8,65.0,3.75,69.49,249.9915,216.147,2154.5485,194069.6,1629199.2,54050,81.82,545,72626.7,9048.3
24,Дальневосточный федеральный округ,ДВФО,28,Амурская область,10000000000,5,Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский государственный университет»,"ФГБОУ ВО «Амурский государственный университет», ФГБОУ ВО «АмГУ», Амурский государственный университет, АмГУ",2017,58.65,138.38,3.0,2308.2,189.92,65.0,4.86,61.23,23.9051,28.6972,924.6537,48088.7,802098.3,44861,71.8,277,34001.75,3708.8
29,Дальневосточный федеральный округ,ДВФО,27,Хабаровский край,8000000000,6,Федеральное государственное бюджетное образовательное учреждение высшего образования «Амурский гуманитарно-педагогический государственный университет»,"ФГБОУ ВО «Амурский гуманитарно-педагогический государственный университет»,  ФГБОУ ВО «АмГПГУ»",2017,57.53,95.32,2.19,2353.44,152.65,65.0,3.85,58.2,4.4268,3.5462,271.23670000000004,12797.3,315949.0,26157,77.99,119,34433.840000000004,1353.8
34,Сибирский федеральный округ,СФО,38,Иркутская область,25000000000,7,Федеральное государственное бюджетное образовательное учреждение высшего образования «Ангарский государственный технический университет»,"ФГБОУ ВО «АнГТУ»,  Ангарский  государственный технический университет",2017,51.17,104.56,0.2,2343.87,159.91,80.0,4.06,51.58,14.6592,42.0192,362.5056,10272.7,230284.8,28840,85.37,96,10037.76,1164.7
39,Южный федеральный округ,ЮФО,23,Краснодарский край,3000000000,9,Федеральное государственное бюджетное образовательное учреждение высшего образования «Армавирский государственный педагогический университет»,ФГБОУ ВО «АГПУ»,2017,64.04,69.5,8.73,1414.31,178.88,70.0,3.38,66.25,9.1164,9.9258,463.6797,17880.0,363830.7,10741,82.82,213,14068.65,2458.15
44,Южный федеральный округ,ЮФО,30,Астраханская область,12000000000,11,Федеральное государственное бюджетное образовательное учреждение высшего образования «Астраханский государственный университет»,Астраханский государственный университет,2017,64.51,52.59,20.31,1659.81,172.18,65.0,4.01,66.02,30.5146,32.303200000000004,1024.109,31787.7,1003187.8,49872,76.48,542,15409.06,6184.55
49,Сибирский федеральный округ,СФО,38,Иркутская область,25000000000,12,Федеральное государственное бюджетное образовательное учреждение высшего образования «Байкальский государственный университет»,ФГБОУ ВО «БГУ»,2017,60.87,100.47,2.96,2253.23,185.91,65.0,3.78,73.15,33.6144,11.4432,828.0675,58792.2,1318474.9,46774,73.5,447,44910.09,6662.25
